"subject","trial","phase","condition","look","outcome"
7,1,"acquisition","cs_minus_ns",1,"reward"
7,2,"acquisition","cs_plus_s",1,"shock"
7,3,"acquisition","cs_minus_s",1,"reward"
7,4,"acquisition","cs_plus_ns",1,"shock"
7,5,"acquisition","cs_minus_s",1,"reward"
7,6,"acquisition","cs_minus_ns",1,"reward"
7,7,"acquisition","cs_minus_ns",1,"reward"
7,8,"acquisition","cs_plus_ns",1,"shock"
7,9,"acquisition","cs_plus_s",1,"shock"
7,10,"acquisition","cs_minus_s",1,"reward"
7,11,"acquisition","cs_plus_ns",1,"shock"
7,12,"acquisition","cs_plus_s",1,"shock"
7,13,"acquisition","cs_minus_ns",1,"reward"
7,14,"acquisition","cs_plus_s",1,"shock"
7,15,"acquisition","cs_plus_ns",1,"shock"
7,16,"acquisition","cs_minus_s",1,"reward"
7,17,"acquisition","cs_plus_s",0,NA
7,18,"acquisition","cs_minus_ns",1,"reward"
7,19,"acquisition","cs_minus_s",1,"reward"
7,20,"acquisition","cs_plus_s",1,"shock"
7,21,"acquisition","cs_plus_ns",1,"shock"
7,22,"acquisition","cs_plus_s",1,"shock"
7,23,"acquisition","cs_minus_ns",1,"reward"
7,24,"acquisition","cs_plus_ns",1,"shock"
7,25,"acquisition","cs_minus_ns",1,"reward"
7,26,"acquisition","cs_plus_s",1,"shock"
7,27,"acquisition","cs_minus_s",1,"reward"
7,28,"acquisition","cs_plus_ns",1,"shock"
7,29,"acquisition","cs_minus_s",1,"reward"
7,30,"acquisition","cs_minus_ns",1,"reward"
7,31,"acquisition","cs_plus_ns",0,NA
7,32,"acquisition","cs_minus_s",1,"reward"
7,33,"acquisition","cs_plus_ns",0,NA
7,34,"acquisition","cs_plus_ns",1,"shock"
7,35,"acquisition","cs_minus_s",1,"reward"
7,36,"acquisition","cs_minus_s",1,"reward"
7,37,"acquisition","cs_plus_s",0,NA
7,38,"acquisition","cs_plus_s",1,"shock"
7,39,"acquisition","cs_minus_s",1,"reward"
7,40,"acquisition","cs_plus_s",0,NA
7,41,"acquisition","cs_minus_ns",1,"reward"
7,42,"acquisition","cs_minus_s",1,"reward"
7,43,"acquisition","cs_minus_ns",1,"reward"
7,44,"acquisition","cs_minus_ns",1,"reward"
7,45,"acquisition","cs_plus_s",0,NA
7,46,"acquisition","cs_plus_ns",1,"shock"
7,47,"acquisition","cs_plus_ns",1,"shock"
7,48,"acquisition","cs_minus_ns",1,"reward"
7,49,"acquisition","cs_plus_s",0,NA
7,50,"acquisition","cs_minus_s",1,"reward"
7,51,"acquisition","cs_plus_ns",1,"shock"
7,52,"acquisition","cs_minus_s",1,"reward"
7,53,"acquisition","cs_plus_ns",0,NA
7,54,"acquisition","cs_minus_ns",1,"reward"
7,55,"acquisition","cs_plus_s",0,NA
7,56,"acquisition","cs_plus_ns",1,"shock"
7,57,"acquisition","cs_minus_s",1,"reward"
7,58,"acquisition","cs_minus_ns",1,"reward"
7,59,"acquisition","cs_minus_s",1,"reward"
7,60,"acquisition","cs_plus_s",0,NA
7,61,"acquisition","cs_minus_ns",1,"reward"
7,62,"acquisition","cs_plus_s",0,NA
7,63,"acquisition","cs_plus_ns",1,"shock"
