posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,spaceStart.started,spaceStart.keys,spaceStart.rt,textPainThreshold.started,spacePainThreshold.started,spacePainThreshold.keys,spacePainThreshold.rt,textRateT.started,text_noPainT.started,text_slightPainT.started,text_highPainT.started,sliderPainT.started,keys_PainT.started,sliderPainT.response,sliderPainT.rt,keys_PainT.keys,keys_PainT.rt,fixcrossT.started,portShock1T.started,portShock1T.stopped,portShock2T.started,portShock2T.stopped,portShock3T.started,portShock3T.stopped,fixcrossT.stopped,text_ETCalibration.started,spaceETCalibration.started,spaceETCalibration.keys,spaceETCalibration.rt,textStartExp.started,spaceStartExp.started,spaceStartExp.keys,spaceStartExp.rt,imageRating.started,sliderStim.started,spaceStim.started,sliderStim.response,sliderStim.rt,spaceStim.keys,spaceStim.rt,textStartTask.started,spaceStartTask.started,spaceStartTask.keys,spaceStartTask.rt,blankScreen.started,blankScreen.stopped,fixcross.started,image.started,roi.started,gazeCursor.started,portImage.started,portImage.stopped,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,gazeCursor_Feedback.started,soundFeedback.started,portShock1.started,portShock1.stopped,portShock2.started,portShock2.stopped,portShock3.started,portShock3.stopped,soundFeedback.stopped,fixcrossE.started,fixcrossE.stopped,textRepeatTask.started,textboxRepeatInstruction.started,textRepeatSpace.started,spaceRepeatTask.started,spaceRepeatTask.keys,spaceRepeatTask.rt,textRate.started,text_noPain.started,text_slightPain.started,text_highPain.started,sliderPain.started,textSpacePain.started,spacePain.started,sliderPain.response,sliderPain.rt,spacePain.keys,spacePain.rt,textTestInstr.started,spaceTestInstr.started,spaceTestInstr.keys,spaceTestInstr.rt,imageTest.started,roiTest.started,portTestImage.started,portTestImage.stopped,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.866734900002484,24.866734900002484,space,2.021898799997871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,C,2023-12-08_16h49.07.936,gca_avoidance_task,2022.2.4,143.72214485093292,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.90134379999654,26.90134379999654,space,1.482063499992364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,C,2023-12-08_16h49.07.936,gca_avoidance_task,2022.2.4,143.72214485093292,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.436002800008282,29.436002800008282,29.436002800008282,29.436002800008282,29.436002800008282,29.436002800008282,None,None,s,16.115685200013104,46.15057739999611,0.1023711000016192,0.10932620000676252,0.15102590000606142,0.15799259999766946,0.19958760000008624,0.20655109999643173,46.90750760000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,C,2023-12-08_16h49.07.936,gca_avoidance_task,2022.2.4,143.72214485093292,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.90750760000083,46.90750760000083,46.90750760000083,46.90750760000083,46.90750760000083,46.90750760000083,1.0,7.559286699994118,s,12.644058699996094,60.19860920000065,0.10245839999697637,0.10940770000161137,0.1510573999985354,0.15802620000613388,0.1996862000087276,0.20667500000854488,60.962484000003315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,C,2023-12-08_16h49.07.936,gca_avoidance_task,2022.2.4,143.72214485093292,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.962484000003315,60.962484000003315,60.962484000003315,60.962484000003315,60.962484000003315,60.962484000003315,2.0,4.097870600002352,s,8.694377699997858,70.16348689999722,0.10222729999804869,0.10915459999523591,0.150793299995712,0.15775110000686254,0.19946109999727923,0.20639390000724234,70.92736260000675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,C,2023-12-08_16h49.07.936,gca_avoidance_task,2022.2.4,143.72214485093292,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.92736260000675,70.92736260000675,70.92736260000675,70.92736260000675,70.92736260000675,70.92736260000675,3.0,3.913886399997864,s,8.488151300000027,80.03813240000454,0.10050169999885838,0.10747309999715071,0.14910119998967275,0.15600899999844842,0.20461209998757113,0.2115644000004977,80.79500270000426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,C,2023-12-08_16h49.07.936,gca_avoidance_task,2022.2.4,143.72214485093292,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.79500270000426,80.79500270000426,80.79500270000426,80.79500270000426,80.79500270000426,80.79500270000426,4.0,1.8202760000131093,s,6.645099699991988,87.9475092000066,0.10404410000774078,0.11098959999799263,0.15266030000930186,0.15961280000919942,0.20126230000460055,0.2082522999990033,88.70444390000193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,C,2023-12-08_16h49.07.936,gca_avoidance_task,2022.2.4,143.72214485093292,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.70444390000193,88.70444390000193,88.70444390000193,88.70444390000193,88.70444390000193,88.70444390000193,6.0,2.2539097999979276,s,8.032372300003772,97.23882660000527,0.10328429999935906,0.11026950000086799,0.1518893000029493,0.15890189999481663,0.20050639999681152,0.20745309999620076,97.99577660000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,C,2023-12-08_16h49.07.936,gca_avoidance_task,2022.2.4,143.72214485093292,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.99577660000068,97.99577660000068,97.99577660000068,97.99577660000068,97.99577660000068,97.99577660000068,5.0,1.7296351000113646,s,7.483938700010185,105.98150720000558,0.10017589999188203,0.10708570000133477,0.15572029999748338,0.16263900000194553,0.20430800000031013,0.21130559999437537,106.82869059999939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,C,2023-12-08_16h49.07.936,gca_avoidance_task,2022.2.4,143.72214485093292,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.82869059999939,106.82869059999939,106.82869059999939,106.82869059999939,106.82869059999939,106.82869059999939,5.0,1.3993611999903806,s,6.595459199990728,113.93954439999652,0.10434550000354648,0.11131449999811593,0.15296390000730753,0.1598731999984011,0.2015498000109801,0.20853540000098292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,C,2023-12-08_16h49.07.936,gca_avoidance_task,2022.2.4,143.72214485093292,
