posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8091884998139,None,None,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.151727000018582,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.481601200066507,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.3226671000011265,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.1753570998553187,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0788918000180274,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.4664207000751048,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.1980009998660535,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.921618599910289,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.5309526999481022,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.068017000099644,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.907611700007692,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.338087399955839,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0781258998904377,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.5773268998600543,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
,,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.812001199927181,,,,,,,,,,,,,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
