posFile,stimFile,testFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,test1,test2,position1,trialtype,position2,comptype,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textStart.started,spaceStart.started,spaceStart.keys,spaceStart.rt,textStartExp.started,textExpImages.started,ImageLearning1.started,ImageLearning2.started,textSpace.started,spaceStartExp.started,spaceStartExp.keys,spaceStartExp.rt,blankScreen.started,blankScreen.stopped,fixcross.started,firstImage.started,fixcrossImage1.started,fixcrossITI.started,secondImage.started,fixcrossImage2.started,key.started,key.keys,key.rt,correctness,feedbackText.started,feedbackText.stopped,fixcrossEnd.started,fixcrossEnd.stopped,fixcross.stopped,textStartTask.started,textTaskImages.started,ImageTask1.started,ImageTask2.started,ImageTask3.started,ImageTask4.started,textTaskSpace.started,spaceStartTask.started,spaceStartTask.keys,spaceStartTask.rt,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,9.594533299998147,9.594533299998147,space,3.2648258000117494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,B,2023-12-08_10h42.24.257,gca_discrimination,2022.2.4,143.79902649372661,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test1,"(0.7, -0.5)",test2,0,0,0,0,0,0,0,11,,,,,,,,,12.879103799990844,12.879103799990844,12.879103799990844,12.879103799990844,12.879103799990844,12.879103799990844,space,27.333459700006642,40.2252654999902,41.26698200000101,41.26698200000101,42.280799000000115,42.280799000000115,42.412718399995356,42.92656549999083,42.92656549999083,43.06546479999088,l,1.5622637000051327,wrong,44.63480400000117,46.634758699990925,46.634758699990925,47.093100400001276,,,,,,,,,,,,11,B,2023-12-08_10h42.24.257,gca_discrimination,2022.2.4,143.79902649372661,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(0.7, -0.5)",test2,0,0,0,0,0,1,1,9,,,,,,,,,,,,,,,,,,,47.093100400001276,48.09302419998858,48.09302419998858,48.24582399999781,48.7457965999929,48.7457965999929,48.89853459999722,ä,0.6746621000056621,wrong,49.58606059999147,51.585965399994166,51.585965399994166,52.440110299998196,48.09302419998858,,,,,,,,,,,11,B,2023-12-08_10h42.24.257,gca_discrimination,2022.2.4,143.79902649372661,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,2,2,13,,,,,,,,,,,,,,,,,,,52.440110299998196,53.440070199998445,53.440070199998445,53.59282209999219,54.09279989999777,54.09279989999777,54.245550799998455,ä,0.6541330000181915,correct,54.912243099999614,56.9121310999908,56.9121310999908,57.148236199995154,53.440070199998445,,,,,,,,,,,11,B,2023-12-08_10h42.24.257,gca_discrimination,2022.2.4,143.79902649372661,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(0.7, 0.5)",test2,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,57.148236199995154,58.14822350000031,58.14822350000031,58.30098200000066,58.80096419999609,58.80096419999609,58.95375049998984,l,0.5308417000051122,correct,59.495406299989554,61.49530650000088,61.49530650000088,62.23831679999421,58.14822350000031,,,,,,,,,,,11,B,2023-12-08_10h42.24.257,gca_discrimination,2022.2.4,143.79902649372661,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, -0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,62.23831679999421,63.23828869999852,63.23828869999852,63.3910809999943,63.89107629998762,63.89107629998762,64.04380200000014,ä,0.4882890000153566,correct,64.54377530000056,66.54372509999666,66.54372509999666,67.15477989999636,63.23828869999852,,,,,,,,,,,11,B,2023-12-08_10h42.24.257,gca_discrimination,2022.2.4,143.79902649372661,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test1,"(0.7, 0.5)",test2,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,,,,,67.15477989999636,68.15476729998772,68.15476729998772,68.30753489999915,68.80754119998892,68.80754119998892,68.96034900000086,ä,0.5163359000143828,correct,69.48801729999832,71.48797509999713,71.48797509999713,72.1615402999887,68.15476729998772,,,,,,,,,,,11,B,2023-12-08_10h42.24.257,gca_discrimination,2022.2.4,143.79902649372661,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(-0.7, -0.5)",test2,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,72.1615402999887,73.1615071999986,73.1615071999986,73.31428599999344,73.81428179999057,73.81428179999057,73.96705369999108,l,0.8605249000102049,correct,74.83502959999896,76.83494839999184,76.83494839999184,77.80024779999803,73.1615071999986,,,,,,,,,,,11,B,2023-12-08_10h42.24.257,gca_discrimination,2022.2.4,143.79902649372661,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,,,,,77.80024779999803,78.8001787999965,78.8001787999965,78.95295519998763,79.45987769999192,79.45987769999192,79.60575370000151,ä,0.551329000008991,correct,80.16820729999745,82.16807749999862,82.16807749999862,82.7583530999982,78.8001787999965,,,,,,,,,,,11,B,2023-12-08_10h42.24.257,gca_discrimination,2022.2.4,143.79902649372661,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(0.7, 0.5)",test1,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,82.7583530999982,83.765253199992,83.765253199992,83.91111000000092,84.41107119999651,84.41107119999651,84.5638445999939,ä,1.15164090001781,correct,85.7235609999916,87.72344000000157,87.72344000000157,87.8623254999984,83.765253199992,,,,,,,,,,,11,B,2023-12-08_10h42.24.257,gca_discrimination,2022.2.4,143.79902649372661,
