posFile,stimFile,testFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,test1,test2,position1,trialtype,position2,comptype,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textStart.started,spaceStart.started,spaceStart.keys,spaceStart.rt,textStartExp.started,textExpImages.started,ImageLearning1.started,ImageLearning2.started,textSpace.started,spaceStartExp.started,spaceStartExp.keys,spaceStartExp.rt,blankScreen.started,blankScreen.stopped,fixcross.started,firstImage.started,fixcrossImage1.started,fixcrossITI.started,secondImage.started,fixcrossImage2.started,key.started,key.keys,correctness,feedbackText.started,fixcrossEnd.started,fixcrossEnd.stopped,fixcross.stopped,key.rt,feedbackText.stopped,textStartTask.started,textTaskImages.started,ImageTask1.started,ImageTask2.started,ImageTask3.started,ImageTask4.started,textTaskSpace.started,spaceStartTask.started,spaceStartTask.keys,spaceStartTask.rt,participant,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,8.292494200053625,8.292494200053625,space,5.563501799944788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,0,0,12,,,,,,,,,13.875577900034841,13.875577900034841,13.875577900034841,13.875577900034841,13.875577900034841,13.875577900034841,space,37.22780899994541,51.11023820005357,52.79766970005585,52.79766970005585,53.81154050002806,53.81154050002806,53.94345840002643,54.45736930001294,54.45736930001294,54.5962700000382,None,no answer,56.60307740001008,58.596068800019566,59.23491280002054,,,,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(-0.7, -0.5)",test2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,59.23491280002054,60.23486680001952,60.23486680001952,60.387653000012506,60.88763430004474,60.88763430004474,61.04038850002689,l,correct,61.38067600002978,63.380603900004644,63.450037400005385,60.23486680001952,0.32660399994347245,,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test1,"(0.7, 0.5)",test2,0,0,0,0,0,2,2,8,,,,,,,,,,,,,,,,,,,63.450037400005385,64.45000820001587,64.45000820001587,64.60275900003035,65.10277520003729,65.10277520003729,65.25550740002654,ä,correct,65.49161050003022,67.491565000033,68.4915055000456,64.45000820001587,0.22373899992089719,67.491565000033,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(-0.7, 0.5)",test2,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,68.4915055000456,69.49146060005296,69.49146060005296,69.64425170002505,70.15115840005456,70.15115840005456,70.2969895999995,l,correct,70.7900237000431,72.78996150003513,73.5121353000286,69.49146060005296,0.4795426999335177,72.78996150003513,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test1,"(0.7, -0.5)",test1,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,73.5121353000286,74.51211220002733,74.51211220002733,74.66488680004841,75.16486130002886,75.16486130002886,75.31763290002709,l,correct,75.72037930000806,77.72030050004832,78.53277770004934,74.51211220002733,0.3940275999484584,77.72030050004832,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(0.7, 0.5)",test2,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,78.53277770004934,79.53970180003671,79.53970180003671,79.68548010004451,80.19243500003358,80.19243500003358,80.33827470004326,l,correct,80.7132319000084,82.71317480003927,83.70617970003514,79.53970180003671,0.3651616999413818,82.71317480003927,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,83.70617970003514,84.7130412000115,84.7130412000115,84.8588904000353,85.3589207000332,85.3589207000332,85.51166460005334,l,wrong,85.92134990001796,87.92129640001804,88.67126510001253,84.7130412000115,0.40017529990291223,87.92129640001804,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(0.7, -0.5)",test2,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,88.67126510001253,89.67125280003529,89.67125280003529,89.82401290000416,90.3239771000226,90.3239771000226,90.47675850003725,ä,wrong,91.06006300001172,93.05998370004818,93.42110010003671,89.67125280003529,0.5700595999369398,93.05998370004818,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(0.7, 0.5)",test1,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,,,93.42110010003671,94.42106330004754,94.42106330004754,94.57383340003435,95.07380780001404,95.07380780001404,95.22659860004205,ä,correct,95.58767840004293,97.58757540001534,97.68481890001567,94.42106330004754,0.34895619994495064,97.58757540001534,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,9,9,13,,,,,,,,,,,,,,,,,,,97.68481890001567,98.68475200003013,98.68475200003013,98.83754910004791,99.33752160001313,99.33752160001313,99.49028420000104,ä,correct,99.84441900003003,101.84438300004695,102.32348740001908,98.68475200003013,0.3407684999401681,101.84438300004695,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, -0.5)",test1,"(0.7, 0.5)",test1,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,102.32348740001908,103.32347910001408,103.32347910001408,103.47624680004083,103.97625040001003,103.97625040001003,104.12900670000818,l,correct,104.40676880005049,106.40667150000809,107.37189990002662,103.32347910001408,0.27032989996951073,106.40667150000809,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, -0.5)",test1,"(0.7, 0.5)",test2,0,0,0,0,0,11,11,0,,,,,,,,,,,,,,,,,,,107.37189990002662,108.37186160002602,108.37186160002602,108.5246874000295,109.02468470000895,109.02468470000895,109.17740700003924,ä,correct,109.39960970001994,111.39952330000233,112.26062160002766,108.37186160002602,0.21362829994177446,111.39952330000233,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social1.png,stimuli/Social2.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test1,"(0.7, -0.5)",test2,0,0,0,0,0,12,12,11,,,,,,,,,,,,,,,,,,,112.26062160002766,113.26058930001454,113.26058930001454,113.41336190002039,113.91334340005415,113.91334340005415,114.0661302000517,ä,correct,114.2605470000417,116.26047180005116,116.47573600005126,113.26058930001454,0.1818248999188654,116.26047180005116,,,,,,,,,,,19,A,2023-12-11_16h57.56.882,gca_discrimination,2022.2.4,143.7880679109286,
