posFile,stimFile,testFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,test1,test2,position1,trialtype,position2,comptype,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textStart.started,key.started,key.keys,key.rt,correctness,textStartTask.started,participant,group,date,expName,psychopyVersion,frameRate,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,0,0,13,,,,,11.329724300070666,42.029914700076915,ä,0.8913811000529677,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, -0.5)",test1,"(0.7, 0.5)",test1,0,0,0,0,0,1,1,10,,,,,,47.44635260000359,l,0.5856750999810174,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(-0.7, -0.5)",test2,0,0,0,0,0,2,2,1,,,,,,52.77257940010168,l,0.8675431000301614,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(0.7, 0.5)",test2,0,0,0,0,0,3,3,7,,,,,,57.62653620005585,l,0.724900999921374,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,4,4,6,,,,,,62.820769200101495,ä,0.498740499955602,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, -0.5)",test1,"(0.7, 0.5)",test2,0,0,0,0,0,5,5,0,,,,,,67.94559500005562,l,0.6860066000372171,wrong,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(0.7, 0.5)",test1,0,0,0,0,0,6,6,3,,,,,,72.61900720000267,ä,0.7325563000049442,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test1,"(0.7, -0.5)",test1,0,0,0,0,0,7,7,5,,,,,,77.1952031000983,l,0.6051792999496683,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, 0.5)",test2,"(0.7, -0.5)",test1,0,0,0,0,0,8,8,12,,,,,,82.29920860007405,ä,0.7492113000480458,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, 0.5)",test1,"(0.7, -0.5)",test2,0,0,0,0,0,9,9,11,,,,,,87.65313860005699,ä,0.5387009000405669,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(-0.7, -0.5)",test2,"(0.7, -0.5)",test2,0,0,0,0,0,10,10,9,,,,,,92.15991650009528,l,0.8243573000654578,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
positions.xlsx,stimuli.xlsx,test.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial1.png,stimuli/Nonsocial2.png,stimuli/Test1.png,stimuli/Test2.png,"(0.7, -0.5)",test2,"(-0.7, 0.5)",test1,0,0,0,0,0,11,11,4,,,,,,97.5416521000443,ä,0.5702743999427184,correct,,23,B,2023-12-13_15h19.23.768,gca_discrimination,2022.2.4,143.75623544490506,
